phi(digree),phi(radians),u,M
0,0,0.0147816,-506.68
0.045022511,0.000785791,0.014781581,-506.7172382
0.090045023,0.001571582,0.014781524,-506.752848
0.135067534,0.002357373,0.014781428,-506.7868309
0.180090045,0.003143164,0.014781294,-506.8191886
0.225112556,0.003928955,0.014781122,-506.8499227
0.270135068,0.004714746,0.014780912,-506.8790349
0.315157579,0.005500537,0.014780663,-506.9065268
0.36018009,0.006286328,0.014780376,-506.9324001
0.405202601,0.00707212,0.014780051,-506.9566564
0.450225113,0.007857911,0.014779688,-506.9792973
0.495247624,0.008643702,0.014779287,-507.0003245
0.540270135,0.009429493,0.014778847,-507.0197397
0.585292646,0.010215284,0.014778369,-507.0375445
0.630315158,0.011001075,0.014777853,-507.0537404
0.675337669,0.011786866,0.014777299,-507.0683293
0.72036018,0.012572657,0.014776706,-507.0813126
0.765382691,0.013358448,0.014776075,-507.0926921
0.810405203,0.014144239,0.014775406,-507.1024694
0.855427714,0.01493003,0.014774699,-507.1106461
0.900450225,0.015715821,0.014773954,-507.1172239
0.945472736,0.016501612,0.01477317,-507.1222044
0.990495248,0.017287403,0.014772348,-507.1255892
1.035517759,0.018073194,0.014771488,-507.1273801
1.08054027,0.018858985,0.014770589,-507.1275786
1.125562781,0.019644776,0.014769653,-507.1261865
1.170585293,0.020430568,0.014768678,-507.1232052
1.215607804,0.021216359,0.014767665,-507.1186365
1.260630315,0.02200215,0.014766614,-507.1124821
1.305652826,0.022787941,0.014765525,-507.1047435
1.350675338,0.023573732,0.014764397,-507.0954224
1.395697849,0.024359523,0.014763231,-507.0845204
1.44072036,0.025145314,0.014762027,-507.0720393
1.485742871,0.025931105,0.014760785,-507.0579805
1.530765383,0.026716896,0.014759505,-507.0423459
1.575787894,0.027502687,0.014758187,-507.025137
1.620810405,0.028288478,0.01475683,-507.0063554
1.665832916,0.029074269,0.014755435,-506.9860028
1.710855428,0.02986006,0.014754002,-506.9640809
1.755877939,0.030645851,0.014752531,-506.9405913
1.80090045,0.031431642,0.014751022,-506.9155355
1.845922961,0.032217433,0.014749474,-506.8889154
1.890945473,0.033003224,0.014747888,-506.8607325
1.935967984,0.033789016,0.014746265,-506.8309884
1.980990495,0.034574807,0.014744603,-506.7996849
2.026013007,0.035360598,0.014742902,-506.7668235
2.071035518,0.036146389,0.014741164,-506.7324059
2.116058029,0.03693218,0.014739388,-506.6964337
2.16108054,0.037717971,0.014737573,-506.6589085
2.206103052,0.038503762,0.014735721,-506.6198321
2.251125563,0.039289553,0.01473383,-506.5792061
2.296148074,0.040075344,0.014731901,-506.5370321
2.341170585,0.040861135,0.014729934,-506.4933117
2.386193097,0.041646926,0.014727929,-506.4480465
2.431215608,0.042432717,0.014725886,-506.4012384
2.476238119,0.043218508,0.014723804,-506.3528887
2.52126063,0.044004299,0.014721685,-506.3029993
2.566283142,0.04479009,0.014719528,-506.2515718
2.611305653,0.045575881,0.014717332,-506.1986078
2.656328164,0.046361672,0.014715098,-506.1441089
2.701350675,0.047147464,0.014712827,-506.0880767
2.746373187,0.047933255,0.014710517,-506.0305131
2.791395698,0.048719046,0.014708169,-505.9714194
2.836418209,0.049504837,0.014705783,-505.9107975
2.88144072,0.050290628,0.014703359,-505.848649
2.926463232,0.051076419,0.014700897,-505.7849754
2.971485743,0.05186221,0.014698397,-505.7197785
3.016508254,0.052648001,0.014695859,-505.6530599
3.061530765,0.053433792,0.014693283,-505.5848212
3.106553277,0.054219583,0.014690669,-505.5150641
3.151575788,0.055005374,0.014688017,-505.4437902
3.196598299,0.055791165,0.014685327,-505.3710011
3.24162081,0.056576956,0.014682598,-505.2966986
3.286643322,0.057362747,0.014679832,-505.2208842
3.331665833,0.058148538,0.014677028,-505.1435595
3.376688344,0.058934329,0.014674186,-505.0647263
3.421710855,0.05972012,0.014671306,-504.9843862
3.466733367,0.060505912,0.014668388,-504.9025407
3.511755878,0.061291703,0.014665432,-504.8191917
3.556778389,0.062077494,0.014662438,-504.7343406
3.6018009,0.062863285,0.014659406,-504.6479892
3.646823412,0.063649076,0.014656337,-504.560139
3.691845923,0.064434867,0.014653229,-504.4707918
3.736868434,0.065220658,0.014650083,-504.3799491
3.781890945,0.066006449,0.0146469,-504.2876127
3.826913457,0.06679224,0.014643678,-504.1937841
3.871935968,0.067578031,0.014640419,-504.098465
3.916958479,0.068363822,0.014637122,-504.001657
3.96198099,0.069149613,0.014633786,-503.9033618
4.007003502,0.069935404,0.014630413,-503.803581
4.052026013,0.070721195,0.014627003,-503.7023164
4.097048524,0.071506986,0.014623554,-503.5995694
4.142071036,0.072292777,0.014620067,-503.4953417
4.187093547,0.073078568,0.014616543,-503.3896351
4.232116058,0.07386436,0.014612981,-503.2824511
4.277138569,0.074650151,0.014609381,-503.1737914
4.322161081,0.075435942,0.014605743,-503.0636576
4.367183592,0.076221733,0.014602067,-502.9520514
4.412206103,0.077007524,0.014598354,-502.8389743
4.457228614,0.077793315,0.014594602,-502.7244282
4.502251126,0.078579106,0.014590813,-502.6084145
4.547273637,0.079364897,0.014586986,-502.4909349
4.592296148,0.080150688,0.014583122,-502.3719912
4.637318659,0.080936479,0.01457922,-502.2515848
4.682341171,0.08172227,0.01457528,-502.1297176
4.727363682,0.082508061,0.014571302,-502.006391
4.772386193,0.083293852,0.014567286,-501.8816068
4.817408704,0.084079643,0.014563233,-501.7553666
4.862431216,0.084865434,0.014559142,-501.627672
4.907453727,0.085651225,0.014555014,-501.4985247
4.952476238,0.086437016,0.014550847,-501.3679263
4.997498749,0.087222808,0.014546644,-501.2358785
5.042521261,0.088008599,0.014542402,-501.1023828
5.087543772,0.08879439,0.014538123,-500.9674411
5.132566283,0.089580181,0.014533806,-500.8310548
5.177588794,0.090365972,0.014529451,-500.6932256
5.222611306,0.091151763,0.014525059,-500.5539553
5.267633817,0.091937554,0.01452063,-500.4132453
5.312656328,0.092723345,0.014516162,-500.2710975
5.357678839,0.093509136,0.014511657,-500.1275133
5.402701351,0.094294927,0.014507115,-499.9824944
5.447723862,0.095080718,0.014502535,-499.8360426
5.492746373,0.095866509,0.014497917,-499.6881594
5.537768884,0.0966523,0.014493262,-499.5388465
5.582791396,0.097438091,0.014488569,-499.3881055
5.627813907,0.098223882,0.014483839,-499.235938
5.672836418,0.099009673,0.014479072,-499.0823458
5.717858929,0.099795464,0.014474267,-498.9273304
5.762881441,0.100581256,0.014469424,-498.7708935
5.807903952,0.101367047,0.014464544,-498.6130367
5.852926463,0.102152838,0.014459626,-498.4537617
5.897948974,0.102938629,0.014454671,-498.2930701
5.942971486,0.10372442,0.014449679,-498.1309636
5.987993997,0.104510211,0.014444649,-497.9674438
6.033016508,0.105296002,0.014439582,-497.8025123
6.07803902,0.106081793,0.014434477,-497.6361708
6.123061531,0.106867584,0.014429335,-497.468421
6.168084042,0.107653375,0.014424156,-497.2992644
6.213106553,0.108439166,0.014418939,-497.1287027
6.258129065,0.109224957,0.014413685,-496.9567376
6.303151576,0.110010748,0.014408393,-496.7833707
6.348174087,0.110796539,0.014403065,-496.6086037
6.393196598,0.11158233,0.014397699,-496.4324381
6.43821911,0.112368121,0.014392295,-496.2548757
6.483241621,0.113153912,0.014386855,-496.075918
6.528264132,0.113939704,0.014381377,-495.8955668
6.573286643,0.114725495,0.014375862,-495.7138236
6.618309155,0.115511286,0.014370309,-495.5306901
6.663331666,0.116297077,0.01436472,-495.3461679
6.708354177,0.117082868,0.014359093,-495.1602588
6.753376688,0.117868659,0.014353429,-494.9729643
6.7983992,0.11865445,0.014347728,-494.784286
6.843421711,0.119440241,0.014341989,-494.5942257
6.888444222,0.120226032,0.014336214,-494.4027849
6.933466733,0.121011823,0.014330401,-494.2099653
6.978489245,0.121797614,0.014324551,-494.0157686
7.023511756,0.122583405,0.014318664,-493.8201963
7.068534267,0.123369196,0.01431274,-493.6232502
7.113556778,0.124154987,0.014306779,-493.4249319
7.15857929,0.124940778,0.014300781,-493.2252429
7.203601801,0.125726569,0.014294746,-493.024185
7.248624312,0.12651236,0.014288674,-492.8217598
7.293646823,0.127298152,0.014282564,-492.617969
7.338669335,0.128083943,0.014276418,-492.4128142
7.383691846,0.128869734,0.014270235,-492.2062969
7.428714357,0.129655525,0.014264015,-491.998419
7.473736868,0.130441316,0.014257757,-491.7891819
7.51875938,0.131227107,0.014251463,-491.5785874
7.563781891,0.132012898,0.014245132,-491.3666371
7.608804402,0.132798689,0.014238764,-491.1533327
7.653826913,0.13358448,0.014232359,-490.9386757
7.698849425,0.134370271,0.014225918,-490.7226679
7.743871936,0.135156062,0.014219439,-490.5053108
7.788894447,0.135941853,0.014212923,-490.2866062
7.833916958,0.136727644,0.014206371,-490.0665556
7.87893947,0.137513435,0.014199782,-489.8451606
7.923961981,0.138299226,0.014193156,-489.6224231
7.968984492,0.139085017,0.014186493,-489.3983445
8.014007004,0.139870808,0.014179794,-489.1729265
8.059029515,0.1406566,0.014173057,-488.9461708
8.104052026,0.141442391,0.014166284,-488.7180791
8.149074537,0.142228182,0.014159475,-488.4886528
8.194097049,0.143013973,0.014152628,-488.2578938
8.23911956,0.143799764,0.014145745,-488.0258036
8.284142071,0.144585555,0.014138825,-487.7923839
8.329164582,0.145371346,0.014131869,-487.5576363
8.374187094,0.146157137,0.014124876,-487.3215625
8.419209605,0.146942928,0.014117846,-487.0841641
8.464232116,0.147728719,0.01411078,-486.8454428
8.509254627,0.14851451,0.014103677,-486.6054001
8.554277139,0.149300301,0.014096537,-486.3640378
8.59929965,0.150086092,0.014089361,-486.1213574
8.644322161,0.150871883,0.014082149,-485.8773607
8.689344672,0.151657674,0.014074899,-485.6320493
8.734367184,0.152443465,0.014067614,-485.3854247
8.779389695,0.153229256,0.014060292,-485.1374887
8.824412206,0.154015048,0.014052933,-484.8882429
